date,city,region,avg_temp_c,max_temp_c,min_temp_c,rainfall_mm,humidity_pct,wind_speed_kmh,sunshine_hours,aqi,weather_condition
2022-03-01,Butwal,Mid-Western,20.0,28.8,12.2,35.0,58,11.2,7.4,156,Spring
2022-04-01,Kathmandu,Central,19.8,28.6,12.4,47.2,62,14.6,6.8,162,Spring
2022-04-01,Pokhara,Western,23.0,32.0,15.2,76.0,68,12.4,6.0,76,Spring
2022-04-01,Biratnagar,Eastern,28.8,37.2,21.2,59.4,60,13.0,7.4,182,Spring/Hot
2022-04-01,Chitwan,Southern,28.2,36.6,20.6,53.8,58,12.6,7.6,174,Spring/Hot
2022-04-01,Butwal,Mid-Western,24.8,34.0,17.0,50.0,62,12.8,7.0,150,Spring
2022-05-01,Kathmandu,Central,22.6,31.0,15.8,76.2,70,15.0,6.4,156,Pre-Monsoon
2022-05-01,Pokhara,Western,26.2,34.4,18.8,108.4,74,13.2,5.4,72,Pre-Monsoon
2022-05-01,Biratnagar,Eastern,32.4,40.0,25.0,90.4,66,14.4,6.8,174,Hot
2022-05-01,Chitwan,Southern,31.8,39.4,24.4,82.4,64,14.0,7.0,166,Hot
2022-05-01,Butwal,Mid-Western,29.0,37.2,21.6,78.4,68,14.2,6.4,142,Pre-Monsoon
2022-06-01,Kathmandu,Central,24.8,29.8,19.8,164.2,84,12.0,3.8,138,Monsoon
2022-06-01,Pokhara,Western,27.0,31.6,22.4,248.2,88,10.6,3.0,64,Monsoon
2022-06-01,Biratnagar,Eastern,33.0,36.6,29.0,218.4,86,11.4,4.4,158,Monsoon
2022-06-01,Chitwan,Southern,32.4,36.0,28.4,206.4,84,11.0,4.6,150,Monsoon
2022-06-01,Butwal,Mid-Western,29.8,33.8,25.8,190.4,86,10.8,4.0,132,Monsoon
2022-07-01,Kathmandu,Central,25.0,28.4,21.6,336.4,90,10.6,2.8,134,Monsoon
2022-07-01,Pokhara,Western,27.0,30.6,23.2,476.4,92,9.4,2.2,60,Monsoon
2022-07-01,Biratnagar,Eastern,33.0,35.8,29.2,412.0,90,10.2,3.4,154,Monsoon
2022-07-01,Chitwan,Southern,32.4,35.4,28.6,390.4,88,10.0,3.6,146,Monsoon
2022-07-01,Butwal,Mid-Western,30.0,33.2,26.4,356.4,90,10.0,3.0,128,Monsoon
2022-08-01,Kathmandu,Central,24.6,28.2,21.2,318.8,89,10.2,3.0,132,Monsoon
2022-08-01,Pokhara,Western,26.6,30.2,22.8,448.4,91,9.0,2.4,58,Monsoon
2022-08-01,Biratnagar,Eastern,32.6,35.4,28.8,382.4,89,9.6,3.6,150,Monsoon
2022-08-01,Chitwan,Southern,32.0,35.0,28.2,364.6,87,9.4,3.8,142,Monsoon
2022-08-01,Butwal,Mid-Western,29.6,32.8,26.0,330.2,89,9.6,3.2,124,Monsoon
2022-09-01,Kathmandu,Central,23.0,27.6,18.8,204.4,82,11.0,4.8,140,Monsoon
2022-09-01,Pokhara,Western,24.8,29.4,20.2,288.2,86,9.8,3.8,66,Monsoon
2022-09-01,Biratnagar,Eastern,31.0,34.6,27.0,244.0,84,10.4,5.2,162,Monsoon
2022-09-01,Chitwan,Southern,30.4,34.0,26.4,231.8,82,10.0,5.4,154,Monsoon
2022-09-01,Butwal,Mid-Western,27.6,31.4,23.6,214.0,84,10.2,4.6,136,Monsoon
2022-10-01,Kathmandu,Central,18.4,26.0,11.8,47.2,68,11.6,6.4,152,Post-Monsoon
2022-10-01,Pokhara,Western,20.6,28.4,14.2,67.2,72,10.2,5.6,74,Post-Monsoon
2022-10-01,Biratnagar,Eastern,26.0,32.8,19.2,52.8,66,11.0,7.0,174,Post-Monsoon
2022-10-01,Chitwan,Southern,25.4,32.2,18.6,48.6,64,10.6,7.2,166,Post-Monsoon
2022-10-01,Butwal,Mid-Western,22.4,29.4,15.4,46.4,68,10.8,6.6,148,Post-Monsoon
2022-11-01,Kathmandu,Central,13.6,21.8,6.2,19.6,60,10.4,6.8,160,Autumn
2022-11-01,Pokhara,Western,16.0,24.4,8.6,27.0,64,9.0,6.2,78,Autumn
2022-11-01,Biratnagar,Eastern,20.8,28.6,13.6,23.6,58,9.8,7.4,184,Autumn
2022-11-01,Chitwan,Southern,20.2,28.0,13.0,21.8,56,9.4,7.6,176,Autumn
2022-11-01,Butwal,Mid-Western,17.0,24.8,9.4,20.8,60,9.6,7.0,156,Autumn
2022-12-01,Kathmandu,Central,9.8,18.2,2.6,14.6,64,9.4,6.0,168,Cold & Dry
2022-12-01,Pokhara,Western,11.8,20.4,4.0,21.6,68,8.0,5.2,86,Cold & Dry
2022-12-01,Biratnagar,Eastern,15.8,23.8,7.8,17.4,61,8.8,6.6,204,Cold & Dry
2022-12-01,Chitwan,Southern,15.2,23.2,7.4,15.0,59,8.4,6.8,196,Cold & Dry
2022-12-01,Butwal,Mid-Western,12.6,20.8,4.8,17.0,63,8.6,6.2,174,Cold & Dry
2023-01-01,Kathmandu,Central,9.0,17.2,2.2,16.2,71,9.8,5.6,192,Cold & Dry
2023-01-01,Pokhara,Western,10.8,19.2,3.8,24.6,75,8.0,5.2,98,Cold & Dry
2023-01-01,Biratnagar,Eastern,15.0,22.8,7.6,20.8,67,8.8,6.4,222,Cold & Dry
2023-01-01,Chitwan,Southern,14.4,22.2,7.0,14.4,65,8.4,6.6,210,Cold & Dry
2023-01-01,Butwal,Mid-Western,11.8,19.2,4.2,18.2,69,8.6,6.0,184,Cold & Dry
2023-02-01,Kathmandu,Central,12.2,20.8,5.0,23.6,61,11.4,6.2,170,Cold & Dry
2023-02-01,Pokhara,Western,14.4,22.8,6.6,33.8,67,9.2,5.6,82,Cold & Dry
2023-02-01,Biratnagar,Eastern,19.0,26.8,11.2,29.8,58,10.0,7.0,196,Cold & Dry
2023-02-01,Chitwan,Southern,18.4,26.2,10.6,26.0,57,9.6,7.2,186,Cold & Dry
2023-02-01,Butwal,Mid-Western,15.8,24.0,8.2,27.6,61,9.8,6.6,162,Cold & Dry
2023-03-01,Kathmandu,Central,16.8,25.0,9.2,35.6,57,13.6,6.8,166,Spring
2023-03-01,Pokhara,Western,19.4,27.8,11.2,52.6,63,11.2,6.2,78,Spring
2023-03-01,Biratnagar,Eastern,24.6,33.0,16.4,43.2,55,12.0,7.6,188,Spring
2023-03-01,Chitwan,Southern,24.0,32.4,15.8,39.4,53,11.6,7.8,180,Spring
2023-03-01,Butwal,Mid-Western,20.6,29.4,12.6,37.2,57,11.6,7.2,154,Spring
2023-04-01,Kathmandu,Central,20.4,29.2,12.8,50.0,61,15.0,6.6,160,Spring
2023-04-01,Pokhara,Western,23.6,32.6,15.6,79.8,67,12.8,5.8,74,Spring
2023-04-01,Biratnagar,Eastern,29.4,37.8,21.6,62.0,59,13.4,7.2,180,Spring/Hot
2023-04-01,Chitwan,Southern,28.8,37.2,21.0,56.4,57,13.0,7.4,172,Spring/Hot
2023-04-01,Butwal,Mid-Western,25.4,34.6,17.4,52.6,61,13.2,6.8,148,Spring
2023-05-01,Kathmandu,Central,23.2,31.6,16.2,80.0,69,15.4,6.2,154,Pre-Monsoon
2023-05-01,Pokhara,Western,26.8,35.0,19.2,114.0,73,13.6,5.2,70,Pre-Monsoon
2023-05-01,Biratnagar,Eastern,33.0,40.6,25.4,94.0,65,14.8,6.6,172,Hot
2023-05-01,Chitwan,Southern,32.4,40.0,24.8,86.0,63,14.4,6.8,164,Hot
2023-05-01,Butwal,Mid-Western,29.6,37.8,22.0,82.0,67,14.6,6.2,140,Pre-Monsoon
2023-06-01,Kathmandu,Central,25.4,30.4,20.2,172.0,83,12.4,3.6,136,Monsoon
2023-06-01,Pokhara,Western,27.6,32.2,22.8,258.0,87,11.0,2.8,62,Monsoon
2023-06-01,Biratnagar,Eastern,33.6,37.2,29.4,228.0,85,11.8,4.2,156,Monsoon
2023-06-01,Chitwan,Southern,33.0,36.6,28.8,216.0,83,11.4,4.4,148,Monsoon
2023-06-01,Butwal,Mid-Western,30.4,34.4,26.2,200.0,85,11.2,3.8,130,Monsoon
2023-07-01,Kathmandu,Central,25.6,29.0,22.0,348.0,89,11.0,2.6,132,Monsoon
2023-07-01,Pokhara,Western,27.6,31.2,23.6,490.0,91,9.8,2.0,58,Monsoon
2023-07-01,Biratnagar,Eastern,33.6,36.4,29.6,426.0,89,10.6,3.2,152,Monsoon
2023-07-01,Chitwan,Southern,33.0,36.0,29.0,404.0,87,10.4,3.4,144,Monsoon
2023-07-01,Butwal,Mid-Western,30.6,33.8,26.8,370.0,89,10.4,2.8,126,Monsoon
2023-08-01,Kathmandu,Central,25.2,28.8,21.6,328.0,88,10.6,2.8,130,Monsoon
2023-08-01,Pokhara,Western,27.2,30.8,23.2,462.0,90,9.4,2.2,56,Monsoon
2023-08-01,Biratnagar,Eastern,33.2,36.0,29.2,396.0,88,10.0,3.4,148,Monsoon
2023-08-01,Chitwan,Southern,32.6,35.6,28.6,378.0,86,9.8,3.6,140,Monsoon
2023-08-01,Butwal,Mid-Western,30.2,33.4,26.4,344.0,88,10.0,3.0,122,Monsoon
2023-09-01,Kathmandu,Central,23.6,28.2,19.2,212.0,81,11.4,4.6,138,Monsoon
2023-09-01,Pokhara,Western,25.4,30.0,20.6,298.0,85,10.2,3.6,64,Monsoon
2023-09-01,Biratnagar,Eastern,31.6,35.2,27.4,254.0,83,10.8,5.0,160,Monsoon
2023-09-01,Chitwan,Southern,31.0,34.6,26.8,241.8,81,10.4,5.2,152,Monsoon
2023-09-01,Butwal,Mid-Western,28.2,32.0,24.0,224.0,83,10.6,4.4,134,Monsoon
2023-10-01,Kathmandu,Central,19.0,26.6,12.2,49.6,67,12.0,6.2,150,Post-Monsoon
2023-10-01,Pokhara,Western,21.2,28.8,14.6,69.6,71,10.6,5.4,72,Post-Monsoon
2023-10-01,Biratnagar,Eastern,26.6,33.4,19.6,55.0,65,11.4,6.8,172,Post-Monsoon
2023-10-01,Chitwan,Southern,26.0,32.8,19.0,50.8,63,11.0,7.0,164,Post-Monsoon
2023-10-01,Butwal,Mid-Western,23.0,29.8,15.8,48.6,67,11.2,6.4,146,Post-Monsoon
2023-11-01,Kathmandu,Central,14.2,22.4,6.6,21.0,59,10.8,6.6,158,Autumn
2023-11-01,Pokhara,Western,16.6,25.0,9.0,28.4,63,9.4,6.0,76,Autumn
2023-11-01,Biratnagar,Eastern,21.4,29.2,14.0,25.2,57,10.2,7.2,182,Autumn
2023-11-01,Chitwan,Southern,20.8,28.6,13.4,23.4,55,9.8,7.4,174,Autumn
2023-11-01,Butwal,Mid-Western,17.6,25.4,9.8,22.2,59,10.0,6.8,154,Autumn
2023-12-01,Kathmandu,Central,10.2,18.6,2.8,15.8,63,9.8,5.8,166,Cold & Dry
2023-12-01,Pokhara,Western,12.2,20.8,4.2,23.0,67,8.4,5.0,84,Cold & Dry
2023-12-01,Biratnagar,Eastern,16.2,24.2,8.0,18.6,60,9.2,6.4,202,Cold & Dry
2023-12-01,Chitwan,Southern,15.6,23.6,7.6,16.2,58,8.8,6.6,194,Cold & Dry
2023-12-01,Butwal,Mid-Western,13.0,21.2,5.0,18.4,62,9.0,6.0,172,Cold & Dry
2024-01-01,Kathmandu,Central,9.4,17.8,2.6,17.4,72,10.2,5.4,194,Cold & Dry
2024-01-01,Pokhara,Western,11.2,19.6,4.0,25.8,76,8.4,5.0,100,Cold & Dry
2024-01-01,Biratnagar,Eastern,15.4,23.2,7.8,22.0,68,9.0,6.2,226,Cold & Dry
2024-01-01,Chitwan,Southern,14.8,22.6,7.2,15.6,66,8.6,6.4,214,Cold & Dry
2024-01-01,Butwal,Mid-Western,12.2,19.8,4.6,19.6,70,8.8,5.8,188,Cold & Dry
2024-02-01,Kathmandu,Central,12.6,21.4,5.2,25.2,60,11.8,6.0,168,Cold & Dry
2024-02-01,Pokhara,Western,14.8,23.4,6.8,35.4,66,9.6,5.4,80,Cold & Dry
2024-02-01,Biratnagar,Eastern,19.6,27.4,11.6,31.4,57,10.4,6.8,194,Cold & Dry
2024-02-01,Chitwan,Southern,19.0,26.8,11.0,27.6,56,10.0,7.0,184,Cold & Dry
2024-02-01,Butwal,Mid-Western,16.2,24.6,8.6,29.2,60,10.2,6.4,160,Cold & Dry
2024-03-01,Kathmandu,Central,17.4,25.6,9.6,38.0,56,14.0,6.6,164,Spring
2024-03-01,Pokhara,Western,20.0,28.4,11.6,54.8,62,11.6,6.0,76,Spring
2024-03-01,Biratnagar,Eastern,25.2,33.6,16.8,45.6,54,12.4,7.4,186,Spring
2024-03-01,Chitwan,Southern,24.6,33.0,16.2,41.8,52,12.0,7.6,178,Spring
2024-03-01,Butwal,Mid-Western,21.2,30.0,13.0,39.4,56,12.0,7.0,152,Spring
2024-04-01,Kathmandu,Central,21.0,29.8,13.2,52.8,60,15.4,6.4,158,Spring
2024-04-01,Pokhara,Western,24.2,33.2,16.0,83.6,66,13.2,5.6,72,Spring
2024-04-01,Biratnagar,Eastern,30.0,38.4,22.0,64.6,58,13.8,7.0,178,Spring/Hot
2024-04-01,Chitwan,Southern,29.4,37.8,21.4,59.0,56,13.4,7.2,170,Spring/Hot
2024-04-01,Butwal,Mid-Western,26.0,35.2,17.8,55.2,60,13.6,6.6,146,Spring
2024-05-01,Kathmandu,Central,23.8,32.2,16.6,83.8,68,15.8,6.0,152,Pre-Monsoon
2024-05-01,Pokhara,Western,27.4,35.6,19.6,119.6,72,14.0,5.0,68,Pre-Monsoon
2024-05-01,Biratnagar,Eastern,33.6,41.2,25.8,97.6,64,15.2,6.4,170,Hot
2024-05-01,Chitwan,Southern,33.0,40.6,25.2,89.6,62,14.8,6.6,162,Hot
2024-05-01,Butwal,Mid-Western,30.2,38.4,22.4,85.6,66,15.0,6.0,138,Pre-Monsoon
2024-06-01,Kathmandu,Central,26.0,31.0,20.6,180.0,82,12.8,3.4,134,Monsoon
2024-06-01,Pokhara,Western,28.2,32.8,23.2,268.0,86,11.4,2.6,60,Monsoon
2024-06-01,Biratnagar,Eastern,34.2,37.8,29.8,238.0,84,12.2,4.0,154,Monsoon
2024-06-01,Chitwan,Southern,33.6,37.2,29.2,226.0,82,11.8,4.2,146,Monsoon
2024-06-01,Butwal,Mid-Western,31.0,34.8,26.6,210.0,84,11.6,3.6,128,Monsoon
